surname,strength,surname_clean
एराज,1,एराज
एल्ताफ़,1,एल्ताफ़
एल्‍मा,1,एल्मा
एविश्वकर्मा,1,एविश्वकर्मा
एसतेखार,1,एसतेखार
एसराम,1,एसराम
एसिंह,3,एसिंह
एसिह,1,एसिह
एस्तियाक,1,एस्तियाक
एहतेशाम,6,एहतेशाम
एहराब,1,एहराब
एहशान,2,एहशान
एहसान,20,एहसान
एहसाव,1,एहसाव
एुकुमार,1,एुकुमार
एुकैवट,1,एुकैवट
एुचौधरी,1,एुचौधरी
एुपुद्धीन,1,एुपुद्धीन
एुमांझी,2,एुमांझी
एुमियाँ,1,एुमियाँ
एुमिस्त्री,2,एुमिस्त्री
एुरसिंह,1,एुरसिंह
एुसिंह,3,एुसिंह
एुसुघरी,1,एुसुघरी
एु्मॉझ्नी,1,एु्मॉझ्नी
एूमांझी,3,एूमांझी
एूसमान,1,एूसमान
एृपांडेय,1,एृपांडेय
एृमांझी,3,एृमांझी
ए्चौधरी,1,ए्चौधरी
ए्रमहतो,1,ए्रमहतो
ए्रमांझी,1,ए्रमांझी
ए्रराम,3,ए्रराम
ए्रिबहारी,1,ए्रिबहारी
ऐ,1,ऐ
ऐँम,1,ऐँम
ऐखलाक,1,ऐखलाक
ऐजाज,1,ऐजाज
ऐनुल,11,ऐनुल
ऐनुलहक,4,ऐनुलहक
ऐपाण्डेय,1,ऐपाण्डेय
ऐप्रसाद,1,ऐप्रसाद
ऐम,1,ऐम
ऐयाज,1,ऐयाज
ऐयाज़,1,ऐयाज़
ऐयुब,1,ऐयुब
ऐयूब,2,ऐयूब
ऐराकी,1,ऐराकी
ऐेमहतौ,1,ऐेमहतौ
ऐेशर्मा,1,ऐेशर्मा
ऑनद,1,ऑनद
ओसिम,1,ओसिम
औनुल,1,औनुल
औया,1,औया
औरंगज़ेब,1,औरंगज़ेब
औरंगजेब,5,औरंगजेब
औली,1,औली
औहाव,2,औहाव
क?युम,1,कयुम
कंचन,1,कंचन
कंसारी,1,कंसारी
कईयुम,1,कईयुम
ककुमार,2,ककुमार
कचहरी,1,कचहरी
कदरी,1,कदरी
कदीर,1,कदीर
कन्दु,1,कन्दु
कन्हैया,2,कन्हैया
कपूर,2,कपूर
कफ,1,कफ
कबि,1,कबि
कबीर,7,कबीर
कबीरदउदृदीन,1,कबीरदउदृदीन
कम,1,कम
कमनुजामा,1,कमनुजामा
कमर,6,कमर
कमरबदुदीन,3,कमरबदुदीन
कमरुजमा,1,कमरुजमा
कमरुदीन,2,कमरुदीन
कमरुदुदीन,17,कमरुदुदीन
कमरुदृदीन,3,कमरुदृदीन
कमरुद्दीन,1,कमरुद्दीन
कमरू,1,कमरू
कमरूउद्दीन,2,कमरूउद्दीन
कमरूजजमा,1,कमरूजजमा
कमरूददीन,1,कमरूददीन
कमरूदीन,15,कमरूदीन
कमरूदृदीन,8,कमरूदृदीन
कमल,29,कमल
कमलेश,4,कमलेश
कमार,12,कमार
कमाल,28,कमाल
कमालउदीन,1,कमालउदीन
कमालउद्दीन,3,कमालउद्दीन
कमालुददीन,1,कमालुददीन
कमालुद्दीन,1,कमालुद्दीन
कमील,1,कमील
कम्रूदीन,1,कम्रूदीन
कयुब,1,कयुब
कयुम,12,कयुम
कयूम,13,कयूम
कय्यूम,2,कय्यूम
कर,1,कर
करण,1,करण
करम,1,करम
करीम,36,करीम
करुज्जम,1,करुज्जम
करूजजमा,1,करूजजमा
कर्ण,1,कर्ण
कर्मा,51,कर्मा
कर्मा.,3,कर्मा
कलम,8,कलम
कललु,3,कललु
कलाम,64,कलाम
कलामुद्दीन,1,कलामुद्दीन
कलाल,1,कलाल
कलि,1,कलि
कलिम,1,कलिम
कलीफा,1,कलीफा
कलीम,68,कलीम
कलीमउद्दीन,1,कलीमउद्दीन
कलू,1,कलू
कलोम,1,कलोम
कवर,11,कवर
कवि,1,कवि
कवीर,2,कवीर
कवेत,2,कवेत
कश्यप,9,कश्यप
कसार,1,कसार
कसीन,1,कसीन
कसीम,1,कसीम
कस्यप,1,कस्यप
कहाना,1,कहाना
कहार,11,कहार
कांत,5,कांत
कांदु,1,कांदु
काइम,1,काइम
काजमी,2,काजमी
काज़ीम,1,काज़ीम
काजिम,2,काजिम
काजीम,1,काजीम
कादरी,13,कादरी
कादिर,3,कादिर
कादिरी,1,कादिरी
कादीरी,1,कादीरी
कान्त,10,कान्त
कान्दु,6,कान्दु
कान्दुदू,1,कान्दुदू
कान्दू,14,कान्दू
कामेश्वर,1,कामेश्वर
कारूमलीक,1,कारूमलीक
कालिम,2,कालिम
कावट,1,कावट
काशीचक,1,काशीचक
काशीम,4,काशीम
काश्पैय,1,काश्पैय
काश्यपेय,1,काश्यपेय
कासमी,7,कासमी
कासिम,20,कासिम
कासीम,28,कासीम
काहन,1,काहन
काहार,1,काहार
काहौरासिया,1,काहौरासिया
किरकु,2,किरकु
किशन,1,किशन
किशोर,61,किशोर
किशोरप्रसाद,1,किशोरप्रसाद
किशौर,2,किशौर
किसकु,5,किसकु
किसरसिंह,1,किसरसिंह
किसान,3,किसान
किस्कू,7,किस्कू
किस्त्री,1,किस्त्री
कील,1,कील
कीलो,1,कीलो
कु,1,कु
कुँसिम,1,कुँसिम
कुंजड़ा,2,कुंजड़ा
कुंजरा,6,कुंजरा
कुंड,1,कुंड
कुंदन,2,कुंदन
कुंमार,1,कुंमार
कुंर,3,कुंर
कुंवर,2,कुंवर
कुइमर,1,कुइमर
कुक्मर,2,कुक्मर
कुगुप्ता,1,कुगुप्ता
कुछुमार,5,कुछुमार
कुजज,1,कुजज
कुट्स,2,कुट्स
कुठुमार,3,कुठुमार
